Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalSpending,NumPurchases,cluster
Master,Married,7500.0,1,0,19,3,2,0,3,5,0,0,0,0,0,0,0,50,31,8,1
Graduation,Single,79941.0,0,0,72,1,2,4,9,1,0,0,0,0,0,0,0,49,984,16,2
2n Cycle,Married,7500.0,0,0,24,3,3,1,3,9,0,0,0,0,0,0,1,29,122,10,1
Graduation,Together,41728.0,1,0,92,1,2,0,2,10,0,0,0,0,0,0,0,57,55,5,1
PhD,Married,72550.0,1,1,39,9,5,2,12,8,0,0,0,0,0,0,0,71,1319,28,0
Graduation,Widow,65486.0,0,1,29,1,4,2,10,2,0,0,0,0,0,0,0,68,507,17,2
Master,Married,79143.0,0,0,2,1,6,9,13,3,0,0,0,0,0,0,0,61,1693,29,2
Graduation,Single,35790.0,1,0,54,2,2,0,3,7,0,0,0,0,0,0,0,48,72,7,1
Graduation,Divorced,82582.0,0,0,54,1,4,9,7,1,1,0,0,1,0,0,1,48,1617,21,2
Graduation,Married,66373.0,1,1,57,7,4,2,10,3,0,0,0,0,0,0,0,47,606,23,0
Master,Together,82384.0,0,0,55,1,3,10,13,1,0,0,1,0,0,0,1,70,1957,27,2
Graduation,Divorced,70287.0,0,0,30,1,5,5,10,3,0,0,0,0,0,0,1,59,1093,21,2
Graduation,Single,27938.0,1,0,31,1,1,0,4,3,0,0,0,0,0,0,0,37,29,6,1
PhD,Married,55954.0,0,1,63,3,8,2,6,7,0,0,0,0,0,0,0,57,518,19,0
Master,Single,75777.0,0,0,12,1,3,6,11,1,0,1,1,0,0,0,1,43,1438,21,2
Graduation,Together,66653.0,1,1,18,4,4,2,12,3,0,0,0,0,0,0,0,50,612,22,0
Graduation,Single,61823.0,0,1,26,4,8,2,10,7,0,0,0,0,0,0,0,73,884,24,0
PhD,Widow,67680.0,0,1,8,1,7,3,8,5,0,0,0,0,0,0,0,74,606,19,2
Graduation,Together,70666.0,0,0,29,1,7,4,4,4,0,0,0,0,0,0,0,77,1076,16,2
Graduation,Married,25721.0,1,0,75,1,1,1,2,7,0,0,0,0,0,0,1,54,34,5,1
Graduation,Together,32474.0,1,1,0,1,1,0,2,7,0,0,0,0,0,0,0,58,11,4,1
2n Cycle,Single,88194.0,0,1,19,1,11,10,10,5,1,0,0,1,0,0,1,46,1274,32,2
Graduation,Together,69096.0,0,1,4,1,5,2,10,4,0,0,0,0,0,0,0,67,653,18,2
Graduation,Together,74854.0,1,2,90,7,2,5,5,5,0,0,0,0,0,0,0,55,1562,19,0
Master,Married,66991.0,0,0,1,3,4,8,6,3,0,0,0,0,0,0,0,71,1253,21,2
Graduation,Married,65031.0,0,1,29,4,10,3,13,7,0,0,0,0,0,0,0,66,863,30,0
PhD,Married,60631.0,1,1,88,5,9,2,8,7,0,1,0,0,0,0,0,50,661,24,0
Graduation,Married,28332.0,0,0,58,1,2,1,4,2,0,0,0,0,0,0,0,73,65,8,1
Graduation,Divorced,40246.0,1,0,68,1,1,0,2,6,0,0,0,0,0,0,0,48,13,4,1
Master,Married,75251.0,0,0,34,1,7,6,5,5,0,0,0,0,0,0,1,53,1890,19,2
Graduation,Single,75825.0,0,0,40,0,5,8,9,4,1,0,0,0,0,0,1,49,2209,22,2
2n Cycle,Together,26326.0,0,0,12,1,0,0,3,3,0,0,0,0,0,1,0,49,18,4,1
Graduation,Together,56046.0,0,0,9,2,10,1,8,8,1,0,0,0,0,0,1,60,692,21,0
Graduation,Single,29760.0,1,0,87,4,3,1,4,8,0,0,0,0,0,0,0,40,165,12,1
Graduation,Married,26304.0,1,0,5,1,1,0,2,7,0,0,0,0,0,0,0,56,16,4,1
2n Cycle,Married,23559.0,1,0,87,3,3,0,3,7,0,0,0,0,0,0,0,52,79,9,1
Master,Together,38620.0,0,0,56,1,2,5,3,3,0,0,0,0,0,0,0,62,318,11,1
Graduation,Divorced,81361.0,0,0,18,1,3,10,13,1,0,0,0,0,0,0,0,38,778,27,2
Graduation,Married,29440.0,1,1,95,2,1,0,4,7,0,0,0,0,0,0,0,65,56,7,1
Master,Married,36138.0,1,1,48,5,3,1,4,7,0,1,0,0,0,0,0,55,151,13,1
Graduation,Single,50388.0,0,1,3,4,6,1,6,7,0,1,0,1,0,0,1,68,372,17,0
Graduation,Married,79593.0,0,0,70,1,5,6,7,2,0,0,1,0,0,0,0,52,1366,19,2
Graduation,Together,54178.0,0,1,79,1,2,2,5,2,0,0,0,0,0,0,0,58,194,10,1
Master,Single,42394.0,1,0,69,1,1,0,3,7,0,0,0,0,0,0,0,53,32,5,1
PhD,Married,23626.0,1,0,84,3,3,1,3,5,0,0,0,0,0,0,0,55,43,10,1
Graduation,Married,30096.0,1,0,30,1,2,0,3,6,0,0,0,0,0,0,0,42,45,6,1
Graduation,Widow,47916.0,0,1,72,5,7,4,6,6,0,1,0,0,0,0,0,65,606,22,0
Graduation,Divorced,51813.0,1,1,37,2,2,0,3,7,0,0,0,0,0,0,0,53,63,7,1
2n Cycle,Married,78497.0,0,0,44,1,5,7,12,2,0,0,0,1,0,0,0,74,978,25,2
PhD,Married,50150.0,0,0,32,2,5,2,7,5,0,0,0,0,0,0,0,42,410,16,0
2n Cycle,Single,47823.0,0,1,0,2,2,0,3,8,0,0,0,0,0,0,0,65,72,7,1
PhD,Single,34554.0,0,1,43,2,2,0,3,6,0,0,0,0,0,0,0,66,55,7,1
Graduation,Together,85693.0,0,1,59,2,9,5,11,5,0,0,0,0,0,0,0,46,1169,27,2
PhD,Married,65846.0,0,0,68,1,6,3,6,4,0,0,0,0,0,0,0,80,1120,16,2
Graduation,Married,87195.0,0,0,35,1,3,11,5,1,0,0,0,0,0,0,1,66,1097,20,2
Basic,Together,24594.0,1,0,94,1,1,0,3,5,0,0,0,0,0,0,0,46,29,5,1
Graduation,Married,49096.0,1,1,15,4,4,1,4,7,0,0,0,0,0,0,0,61,187,13,1
Graduation,Married,52413.0,0,2,56,4,6,4,12,6,0,0,0,0,0,0,0,56,910,26,0
Graduation,Single,38557.0,1,0,17,2,3,1,3,7,0,0,0,0,0,0,0,47,145,9,1
Master,Married,89058.0,0,0,18,1,5,4,4,2,0,0,0,0,0,0,0,65,850,14,2
Graduation,Together,77298.0,0,1,46,1,6,6,11,3,0,0,0,0,0,0,0,46,969,24,2
PhD,Single,68126.0,0,0,40,1,7,4,5,9,0,1,0,0,0,0,1,34,1820,17,2
Master,Together,57288.0,0,1,27,3,8,1,8,6,0,1,0,0,0,0,0,62,608,20,0
Graduation,Single,86037.0,0,0,95,1,6,7,11,3,0,1,1,0,0,0,1,34,730,25,2
PhD,Married,43974.0,1,0,19,5,6,4,6,7,0,0,0,0,0,0,0,45,551,21,0
Graduation,Single,50785.0,1,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,114,8,1
Graduation,Married,90765.0,0,0,25,0,4,6,5,1,0,0,1,1,0,0,0,55,1724,15,2
2n Cycle,Married,36550.0,1,0,74,5,9,1,5,9,0,0,0,0,0,0,0,47,577,20,0
2n Cycle,Together,30753.0,1,1,85,2,1,1,3,5,0,0,0,0,0,0,0,58,81,7,1
Graduation,Together,21918.0,1,0,37,2,2,0,3,6,0,0,0,0,0,0,0,56,33,7,1
Master,Together,56129.0,0,1,65,4,6,2,10,4,0,0,0,0,0,0,0,72,660,22,0
Master,Single,32557.0,1,0,13,3,2,1,3,5,0,0,0,0,0,0,1,58,80,9,1
Master,Married,19510.0,2,0,63,2,1,0,3,7,0,0,0,0,0,0,0,40,30,6,1
Graduation,Divorced,30992.0,1,0,83,1,1,0,3,7,0,0,0,0,0,0,0,49,43,5,1
Graduation,Single,101970.0,0,0,69,0,6,8,13,2,0,1,1,1,0,0,1,42,1135,27,2
2n Cycle,Together,71488.0,0,0,87,2,3,4,7,1,0,0,0,0,0,0,0,60,559,16,2
Graduation,Single,79607.0,0,0,37,1,3,6,6,1,0,0,0,0,0,0,1,41,1923,16,2
Master,Married,54348.0,1,1,51,2,2,0,4,6,0,0,0,0,0,0,0,72,90,8,1
PhD,Together,77376.0,1,1,72,4,6,3,10,4,0,0,0,0,0,0,0,69,661,23,0
Graduation,Married,62998.0,0,1,10,5,5,4,5,5,0,0,0,0,0,0,0,73,463,19,0
Master,Alone,61331.0,1,1,42,5,11,1,6,8,0,0,0,0,0,0,0,67,632,23,0
Graduation,Married,73448.0,0,0,10,1,7,2,9,4,0,0,0,0,0,0,0,56,725,19,2
PhD,Married,41551.0,1,1,51,5,5,1,5,8,0,0,0,0,0,0,0,61,279,16,0
PhD,Together,62981.0,0,0,21,1,4,5,13,3,0,1,0,0,0,0,0,58,1482,23,2
Basic,Divorced,9548.0,1,0,31,2,1,0,3,8,0,0,0,0,0,0,0,49,29,6,1
PhD,Married,33762.0,2,1,61,3,2,2,2,8,0,0,0,0,0,0,0,66,106,9,1
PhD,Alone,35860.0,1,1,37,2,1,1,2,5,1,0,0,0,0,0,1,52,49,6,1
PhD,Divorced,36921.0,1,1,74,2,2,0,3,7,0,0,0,0,0,0,0,60,38,7,1
Master,Single,92859.0,0,0,46,1,5,4,12,2,0,0,0,0,0,0,0,33,2077,22,2
Master,Together,65104.0,0,1,4,2,3,5,7,7,0,0,0,0,0,0,1,49,1053,17,2
Graduation,Married,86111.0,0,0,73,1,5,7,10,2,0,0,0,0,0,0,0,63,1385,23,2
PhD,Single,68352.0,0,1,47,3,8,5,9,6,0,0,0,0,0,0,0,51,871,25,0
Graduation,Together,41883.0,1,0,13,3,4,2,3,7,0,0,0,0,0,0,0,37,312,12,1
Graduation,Married,59809.0,0,2,36,3,3,3,6,8,0,0,0,0,0,0,0,49,877,15,0
Graduation,Married,23957.0,1,0,47,1,2,0,3,6,0,0,0,0,0,0,1,50,68,6,1
Graduation,Together,38547.0,1,0,49,1,1,0,2,8,0,0,0,0,0,1,0,44,22,4,1
2n Cycle,Married,35688.0,2,1,94,7,4,1,4,8,0,0,0,0,0,0,0,52,211,16,1
Master,Married,49605.0,0,0,65,1,2,1,4,3,0,0,0,0,0,0,0,59,127,8,1
Master,Married,59354.0,0,2,59,1,4,4,7,3,0,0,0,0,0,0,0,72,459,16,2
Graduation,Married,65747.0,0,1,96,4,8,1,6,6,0,1,0,0,0,0,0,56,460,19,0
2n Cycle,Together,46344.0,0,1,28,4,7,1,5,7,0,0,0,0,0,0,0,53,429,17,0
Graduation,Alone,34176.0,1,0,12,4,3,0,4,6,0,0,0,0,0,0,0,37,89,11,1
PhD,Together,61010.0,0,1,57,2,8,5,11,5,0,0,0,0,0,0,0,73,1021,26,2
Graduation,Together,69372.0,0,0,10,1,10,4,6,4,0,1,1,0,0,0,1,76,1381,21,2
Graduation,Single,49967.0,0,1,4,3,6,1,5,7,0,0,0,0,0,0,0,67,306,15,0
Graduation,Single,60199.0,1,2,49,1,0,0,3,4,0,0,0,0,0,0,0,47,18,4,1
Graduation,Together,55375.0,0,1,3,1,1,1,6,2,0,0,0,0,0,0,0,48,162,9,1
Graduation,Single,80317.0,0,0,64,1,3,4,10,1,0,0,0,0,0,0,0,70,1231,18,2
Master,Single,30523.0,2,1,0,1,1,0,2,7,0,0,0,0,0,0,0,67,13,4,1
PhD,Married,70356.0,0,0,20,2,10,6,9,6,0,0,0,0,0,0,0,80,1706,27,2
Graduation,Married,23228.0,1,0,91,4,3,0,4,8,0,0,0,0,0,0,0,41,121,11,1
PhD,Divorced,74165.0,0,0,9,1,5,4,10,2,0,0,0,0,0,0,0,50,1293,20,2
PhD,Married,157243.0,0,1,98,15,0,22,0,0,0,0,0,0,0,0,0,52,1608,37,2
Graduation,Together,43482.0,2,1,83,3,2,0,4,6,0,0,0,0,0,0,0,59,88,9,1
Graduation,Divorced,62551.0,0,0,27,1,6,7,4,3,1,0,0,0,0,0,0,72,421,18,2
Graduation,Divorced,52332.0,0,0,63,1,3,2,6,4,0,1,0,0,0,0,0,66,259,12,1
Graduation,Single,66951.0,0,0,46,1,3,4,7,1,0,0,0,0,0,0,0,37,1117,15,2
Graduation,Together,26091.0,1,1,84,3,2,1,3,5,0,0,0,0,0,0,0,68,89,9,1
Graduation,Together,33456.0,1,1,58,2,1,0,3,7,0,0,0,0,0,0,0,60,36,6,1
Graduation,Married,28718.0,1,0,78,2,2,0,3,8,0,0,0,0,0,0,0,43,57,7,1
Graduation,Married,50447.0,2,0,4,1,3,1,3,6,0,0,0,0,0,0,0,55,148,8,1
PhD,Together,53537.0,1,1,17,2,2,1,3,5,0,0,0,0,0,0,0,66,93,8,1
Graduation,Single,52074.0,0,1,77,1,2,2,2,4,1,0,0,0,0,0,0,58,119,7,1
PhD,Married,80427.0,0,1,56,1,11,8,8,5,0,0,0,0,0,0,0,50,1835,28,2
PhD,Married,83837.0,0,0,79,1,9,10,5,4,0,1,0,1,0,0,1,77,1318,25,2
PhD,Married,38853.0,1,1,90,2,2,0,3,7,0,0,0,0,0,0,0,55,45,7,1
Graduation,Together,38285.0,2,1,96,1,0,0,3,2,0,0,0,0,0,0,0,66,10,4,1
2n Cycle,Married,78497.0,0,0,44,1,5,7,12,2,0,0,0,1,0,0,0,74,978,25,2
PhD,Married,51650.0,0,1,81,1,4,1,4,5,0,0,0,0,0,0,0,49,191,10,1
2n Cycle,Married,16248.0,1,0,77,3,2,1,3,6,0,0,0,0,0,0,0,37,57,9,1
Master,Married,66835.0,0,0,21,1,6,4,13,2,0,0,0,0,0,0,0,79,1033,24,2
Master,Married,30477.0,1,0,16,1,1,1,3,6,0,0,0,0,0,0,0,41,66,6,1
Basic,Married,28249.0,0,0,80,1,2,0,3,6,0,0,0,0,0,0,0,64,43,6,1
Graduation,Married,25271.0,1,0,45,1,1,1,2,9,0,0,0,0,0,0,0,42,50,5,1
PhD,Single,32303.0,0,1,63,2,1,0,4,5,0,0,0,0,0,0,0,55,39,7,1
Graduation,Married,61286.0,0,1,34,2,7,1,8,5,0,0,0,0,0,0,0,59,608,18,0
Graduation,Married,74068.0,0,0,14,1,4,10,9,2,0,0,0,0,0,0,0,49,1581,24,2
PhD,Married,45759.0,1,1,13,2,2,0,3,7,0,0,0,0,0,0,0,61,68,7,1
Basic,Together,24882.0,1,0,52,1,1,1,2,6,1,0,0,0,0,0,0,47,80,5,1
PhD,Together,66973.0,0,0,98,1,8,7,12,3,0,0,0,0,0,0,0,36,1282,28,2
2n Cycle,Divorced,36640.0,1,0,99,1,2,1,2,5,0,0,0,0,0,1,0,125,65,6,1
Graduation,Married,38872.0,1,0,93,2,3,0,3,8,0,0,0,0,0,0,0,37,91,8,1
Graduation,Married,51148.0,1,1,38,4,5,1,6,6,0,0,0,0,0,0,0,52,315,16,0
Graduation,Married,31353.0,1,1,24,2,1,1,2,8,0,0,0,0,0,0,0,48,31,6,1
Master,Married,69661.0,0,0,80,1,7,3,12,3,0,0,0,0,0,0,0,45,834,23,2
Graduation,Married,80067.0,0,0,82,1,4,6,6,2,0,0,1,0,0,0,0,71,1600,17,2
Graduation,Married,86718.0,0,0,20,1,5,6,5,2,0,0,0,0,0,0,0,71,1270,17,2
PhD,Single,46854.0,1,1,81,6,5,1,3,8,1,0,0,0,0,0,1,52,263,15,0
Graduation,Divorced,69142.0,0,1,50,3,8,1,7,5,0,1,0,0,0,0,0,73,535,19,0
Graduation,Single,75922.0,0,0,60,1,4,4,9,1,0,0,0,0,0,0,0,57,1295,18,2
Graduation,Divorced,63693.0,0,1,63,3,11,6,9,6,0,0,0,0,0,0,0,47,1150,29,0
PhD,Together,102160.0,0,0,54,0,7,9,10,4,0,1,1,1,0,0,1,48,1240,26,2
PhD,Single,40637.0,1,1,72,2,1,0,3,7,0,0,0,0,0,0,0,60,38,6,1
Master,Single,18890.0,0,0,5,1,0,1,2,6,1,0,0,0,0,0,1,41,35,4,1
Graduation,Together,29604.0,1,0,88,1,1,0,3,9,1,0,0,0,0,0,0,37,53,5,1
Master,Divorced,48721.0,1,1,50,6,4,2,5,6,0,0,0,0,0,0,0,62,293,17,0
Graduation,Married,44794.0,0,1,99,1,2,0,3,6,0,0,0,0,0,0,0,59,65,6,1
Graduation,Divorced,64497.0,0,1,17,5,11,4,9,8,1,0,0,0,0,0,1,71,1804,29,0
Graduation,Together,46097.0,0,1,11,5,3,1,6,4,0,0,0,0,0,0,0,69,241,15,0
Graduation,Together,77972.0,0,0,18,1,4,6,9,1,0,0,0,0,0,0,0,71,1101,20,2
PhD,Married,44377.0,1,1,70,8,5,1,5,8,0,0,0,0,0,0,0,57,264,19,0
Master,Together,46014.0,1,1,21,10,7,1,8,7,0,0,0,0,0,0,0,51,541,26,0
Graduation,Married,70951.0,0,0,66,1,3,4,9,1,0,0,0,0,0,0,0,40,1198,17,2
Graduation,Married,41443.0,1,0,79,6,8,1,5,8,0,0,0,0,0,0,0,48,482,20,0
2n Cycle,Single,52195.0,2,1,2,1,1,0,2,8,0,0,0,0,0,0,0,47,17,4,1
Master,Married,83790.0,0,0,81,1,8,10,6,3,0,1,1,0,0,0,0,77,1615,25,2
Master,Widow,44551.0,0,1,24,2,4,1,5,7,0,0,0,0,0,0,0,71,285,12,1
Graduation,Together,69508.0,1,0,48,2,11,4,11,6,0,0,0,0,0,0,0,45,1135,28,0
2n Cycle,Together,45204.0,1,0,93,1,1,1,4,3,0,0,0,0,0,0,0,37,114,7,1
Graduation,Married,72460.0,0,0,56,1,3,5,7,1,0,0,0,0,0,0,0,56,1047,16,2
PhD,Together,77622.0,0,2,3,2,6,3,11,3,0,0,0,0,0,0,0,55,714,22,2
PhD,Married,30732.0,1,0,44,4,4,1,4,8,0,0,0,0,0,0,0,45,185,13,1
Graduation,Divorced,63887.0,0,1,38,5,9,6,12,6,0,0,0,0,0,0,0,63,1245,32,0
Graduation,Together,42011.0,1,0,46,4,3,1,4,8,0,0,0,0,0,0,0,47,189,12,1
Graduation,Together,51369.0,0,1,84,2,8,2,4,8,0,0,0,0,0,0,0,49,576,16,0
Graduation,Divorced,51537.0,0,1,27,3,2,2,11,8,0,0,0,0,0,0,0,73,1103,18,0
PhD,Married,79930.0,0,0,72,1,3,5,8,2,0,0,0,0,0,0,0,53,1753,17,2
PhD,Together,34320.0,1,0,66,1,1,0,2,8,0,0,0,0,0,0,0,39,17,4,1
Graduation,Single,37070.0,1,1,30,9,5,1,8,7,0,0,0,0,0,0,1,59,433,23,0
2n Cycle,Divorced,81975.0,0,1,2,1,6,3,4,7,0,0,1,0,0,0,0,63,1588,14,2
Graduation,Together,38590.0,1,0,65,1,1,0,2,8,0,0,0,0,0,0,0,54,22,4,1
Graduation,Single,15033.0,0,0,37,1,1,0,3,3,0,0,0,0,0,0,0,74,19,5,1
PhD,Married,62745.0,0,1,89,3,7,8,11,5,0,0,0,0,0,0,0,60,1117,29,2
2n Cycle,Married,22212.0,1,0,49,2,2,0,4,6,0,0,0,0,0,0,0,50,69,8,1
Master,Together,23661.0,1,0,46,1,1,0,3,7,0,0,0,0,0,0,0,43,23,5,1
PhD,Single,79761.0,0,1,32,1,5,2,11,3,0,0,0,0,0,0,0,67,605,19,2
Graduation,Single,7500.0,1,0,54,4,3,1,3,7,0,0,0,0,0,0,0,52,57,11,1
2n Cycle,Single,60182.0,0,1,23,1,1,0,2,4,0,0,0,0,0,0,0,132,22,4,1
Graduation,Widow,73455.0,0,0,98,1,6,5,10,3,0,1,0,0,0,0,0,57,2088,22,2
Graduation,Together,64961.0,0,1,97,2,6,4,4,3,0,0,0,0,0,0,0,67,1009,16,2
Graduation,Single,22804.0,1,0,75,1,2,0,2,9,0,0,0,0,0,0,0,54,26,5,1
Graduation,Married,73687.0,0,0,8,1,3,9,9,2,0,0,0,1,0,0,1,35,1627,22,2
Graduation,Married,61074.0,0,1,37,7,11,5,8,7,0,0,0,0,0,0,0,67,1102,31,0
PhD,Married,31686.0,1,1,31,2,1,0,3,6,0,0,0,0,0,0,0,61,17,6,1
Graduation,Married,80134.0,1,0,40,2,5,3,6,6,0,1,1,1,0,0,1,53,1690,16,2
Graduation,Married,75027.0,0,1,74,2,9,4,6,5,0,0,0,0,0,0,0,72,1390,21,2
PhD,Married,67546.0,0,0,90,1,4,10,5,3,0,0,0,0,0,0,0,37,2126,20,2
Master,Together,65176.0,0,1,57,4,9,6,6,6,0,0,0,0,0,0,0,56,1531,25,0
Master,Single,31160.0,1,0,59,2,2,0,3,8,0,0,0,0,0,0,0,50,64,7,1
Graduation,Single,29938.0,1,0,52,2,1,0,3,6,0,0,0,0,0,0,0,40,26,6,1
Graduation,Divorced,102692.0,0,0,5,1,6,9,13,2,0,1,1,1,1,0,1,51,1112,29,2
2n Cycle,Together,26490.0,0,0,92,2,3,1,5,6,0,0,0,0,0,0,0,67,210,11,1
Graduation,Together,75702.0,1,1,77,5,4,6,11,8,0,0,0,0,0,0,0,58,1148,26,0
PhD,Single,30899.0,1,0,35,2,1,0,3,6,0,0,0,0,0,0,0,51,33,6,1
PhD,Together,63342.0,0,1,48,3,8,3,5,6,0,1,0,0,0,0,0,64,1101,19,0
Graduation,Single,45989.0,0,1,97,4,3,2,7,3,0,0,0,0,0,0,0,61,322,16,0
Graduation,Single,18701.0,1,1,95,4,2,0,4,5,0,0,0,0,0,0,0,61,44,10,1
PhD,Single,40737.0,2,1,24,1,1,0,2,8,0,0,0,0,0,0,0,68,17,4,1
Graduation,Divorced,15287.0,1,0,60,2,1,1,2,7,1,0,0,0,0,0,1,46,31,6,1
PhD,Divorced,69674.0,0,2,46,3,10,2,10,5,0,0,0,0,0,0,0,57,845,25,0
Master,Married,44159.0,1,0,85,4,4,1,6,5,0,0,0,0,0,0,0,55,275,15,1
PhD,Married,37717.0,1,0,31,1,1,0,2,9,0,0,0,0,0,0,0,47,25,4,1
Master,Together,43776.0,1,1,9,6,5,2,4,8,0,0,0,0,0,0,1,73,275,17,0
Master,Married,38179.0,1,1,30,4,3,1,3,7,0,0,0,0,0,0,0,59,90,11,1
Graduation,Married,80124.0,0,0,47,1,3,7,8,1,1,0,0,0,0,0,0,62,1495,19,2
PhD,Married,38097.0,1,1,70,4,3,2,2,7,1,0,0,0,0,0,1,55,184,11,1
Graduation,Married,72940.0,0,0,13,1,3,3,6,1,0,0,0,0,0,0,0,55,981,13,2
Graduation,Together,22070.0,1,0,11,2,2,2,2,6,0,0,0,0,0,0,0,55,67,8,1
Graduation,Single,69267.0,0,0,31,2,3,4,5,7,0,0,0,0,0,0,1,72,1635,14,2
Master,Single,31788.0,1,0,15,3,3,0,4,5,0,0,0,0,0,1,0,42,60,10,1
PhD,Together,61905.0,0,1,2,2,4,2,4,5,0,0,0,0,0,0,0,50,231,12,1
Graduation,Married,29315.0,1,1,55,4,2,0,4,6,0,0,0,0,0,0,0,65,48,10,1
Graduation,Divorced,33378.0,1,1,38,3,2,0,4,7,0,0,0,0,0,0,0,62,99,9,1
PhD,Together,66313.0,0,1,86,2,6,3,12,4,0,0,0,0,0,0,0,62,770,23,2
Graduation,Single,60714.0,0,0,56,2,7,4,10,5,0,0,0,0,0,0,1,69,957,23,2
Master,Together,77882.0,0,0,29,1,3,3,5,1,0,0,0,0,0,0,0,44,818,12,2
